test_name,true_category,true_label,transform,tokens_before,tokens_after,ws_tokens_before,ws_tokens_after,ws_frac_before,ws_frac_after,truncated_before,truncated_after,pred_before,pred_after,conf_before,conf_after,flipped
BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,0,async wait,trailing spaces,512,512,93,105,0.1816,0.2051,True,True,0,0,0.8077,0.8136,False
BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,0,async wait,remove blank lines,512,512,93,93,0.1816,0.1816,True,True,0,0,0.8077,0.8077,False
InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,0,async wait,indent +4,512,512,157,206,0.3066,0.4023,True,True,0,5,0.9216,0.9426,True
InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,0,async wait,strip indent,512,416,157,32,0.3066,0.0769,True,False,0,0,0.9216,0.9212,False
InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,0,async wait,trailing spaces,512,512,157,168,0.3066,0.3281,True,True,0,0,0.9216,0.8756,False
InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,0,async wait,remove blank lines,512,512,157,157,0.3066,0.3066,True,True,0,0,0.9216,0.9216,False
TestDFSIO.testReadBackward,4,test order dependency,indent +4,134,164,26,56,0.194,0.3415,False,False,2,5,0.7809,0.9373,True
TestDFSIO.testReadBackward,4,test order dependency,strip indent,134,116,26,8,0.194,0.069,False,False,2,2,0.7809,0.7714,False
TestDFSIO.testReadBackward,4,test order dependency,trailing spaces,134,143,26,35,0.194,0.2448,False,False,2,2,0.7809,0.7484,False
TestDFSIO.testReadBackward,4,test order dependency,remove blank lines,134,134,26,26,0.194,0.194,False,False,2,2,0.7809,0.7809,False
TestDFSIO.testReadRandom,4,test order dependency,indent +4,127,157,26,56,0.2047,0.3567,False,False,2,5,0.785,0.938,True
TestDFSIO.testReadRandom,4,test order dependency,strip indent,127,109,26,8,0.2047,0.0734,False,False,2,2,0.785,0.7769,False
TestDFSIO.testReadRandom,4,test order dependency,trailing spaces,127,136,26,35,0.2047,0.2574,False,False,2,2,0.785,0.7546,False
TestDFSIO.testReadRandom,4,test order dependency,remove blank lines,127,127,26,26,0.2047,0.2047,False,False,2,2,0.785,0.785,False
5637994be37747e82b2d6d5b34555e2bee791fe6.testWithRevisions,4,test order dependency,indent +4,269,331,58,120,0.2156,0.3625,False,False,3,5,0.8416,0.9501,True
5637994be37747e82b2d6d5b34555e2bee791fe6.testWithRevisions,4,test order dependency,strip indent,269,226,58,16,0.2156,0.0708,False,False,3,3,0.8416,0.8283,False
5637994be37747e82b2d6d5b34555e2bee791fe6.testWithRevisions,4,test order dependency,trailing spaces,269,286,58,75,0.2156,0.2622,False,False,3,5,0.8416,0.6789,True
5637994be37747e82b2d6d5b34555e2bee791fe6.testWithRevisions,4,test order dependency,remove blank lines,269,269,58,58,0.2156,0.2156,False,False,3,3,0.8416,0.8416,False
CollectorContextTest.testCollectorContextWithKeyword,3,unordered collections,indent +4,222,256,30,64,0.1351,0.25,False,False,3,5,0.8648,0.9528,True
CollectorContextTest.testCollectorContextWithKeyword,3,unordered collections,strip indent,222,201,30,9,0.1351,0.0448,False,False,3,3,0.8648,0.86,False
CollectorContextTest.testCollectorContextWithKeyword,3,unordered collections,trailing spaces,222,232,30,40,0.1351,0.1724,False,False,3,5,0.8648,0.7802,True
CollectorContextTest.testCollectorContextWithKeyword,3,unordered collections,remove blank lines,222,222,30,30,0.1351,0.1351,False,False,3,3,0.8648,0.8648,False
TestPeerCache.testEviction,4,test order dependency,indent +4,465,512,138,205,0.2968,0.4004,False,True,0,5,0.9089,0.9387,True
TestPeerCache.testEviction,4,test order dependency,strip indent,465,356,138,27,0.2968,0.0758,False,False,0,0,0.9089,0.7715,False
TestPeerCache.testEviction,4,test order dependency,trailing spaces,465,493,138,166,0.2968,0.3367,False,False,0,0,0.9089,0.7362,False
TestPeerCache.testEviction,4,test order dependency,remove blank lines,465,465,138,138,0.2968,0.2968,False,False,0,0,0.9089,0.9089,False
PreviewDataPipelineTest.testLogicalTypePreviewRun,2,time,indent +4,512,512,105,183,0.2051,0.3574,True,True,0,5,0.6841,0.9478,True
PreviewDataPipelineTest.testLogicalTypePreviewRun,2,time,strip indent,512,512,105,30,0.2051,0.0586,True,True,0,0,0.6841,0.4988,False
PreviewDataPipelineTest.testLogicalTypePreviewRun,2,time,trailing spaces,512,512,105,122,0.2051,0.2383,True,True,0,5,0.6841,0.4987,True
PreviewDataPipelineTest.testLogicalTypePreviewRun,2,time,remove blank lines,512,512,105,105,0.2051,0.2051,True,True,0,0,0.6841,0.6841,False
TestHftpFileSystem.testHftpDefaultPorts,4,test order dependency,indent +4,203,241,34,72,0.1675,0.2988,False,False,0,5,0.5578,0.951,True
TestHftpFileSystem.testHftpDefaultPorts,4,test order dependency,strip indent,203,179,34,10,0.1675,0.0559,False,False,0,4,0.5578,0.6289,True
TestHftpFileSystem.testHftpDefaultPorts,4,test order dependency,trailing spaces,203,214,34,45,0.1675,0.2103,False,False,0,0,0.5578,0.417,False
TestHftpFileSystem.testHftpDefaultPorts,4,test order dependency,remove blank lines,203,203,34,34,0.1675,0.1675,False,False,0,0,0.5578,0.5578,False
testFlowNoConflictsWithClients,1,concurrency,indent +4,331,425,90,184,0.2719,0.4329,False,False,0,5,0.9244,0.9311,True
testFlowNoConflictsWithClients,1,concurrency,strip indent,331,269,90,24,0.2719,0.0892,False,False,0,0,0.9244,0.9153,False
testFlowNoConflictsWithClients,1,concurrency,trailing spaces,331,356,90,115,0.2719,0.323,False,False,0,0,0.9244,0.9191,False
testFlowNoConflictsWithClients,1,concurrency,remove blank lines,331,331,90,90,0.2719,0.2719,False,False,0,0,0.9244,0.9244,False
incrementUpperLimitIfOneMinuteElapsedSinceLastUpdate,0,async wait,indent +4,221,263,38,80,0.1719,0.3042,False,False,2,5,0.7948,0.9346,True
incrementUpperLimitIfOneMinuteElapsedSinceLastUpdate,0,async wait,strip indent,221,197,38,11,0.1719,0.0558,False,False,2,2,0.7948,0.7931,False
incrementUpperLimitIfOneMinuteElapsedSinceLastUpdate,0,async wait,trailing spaces,221,233,38,50,0.1719,0.2146,False,False,2,2,0.7948,0.7818,False
incrementUpperLimitIfOneMinuteElapsedSinceLastUpdate,0,async wait,remove blank lines,221,221,38,38,0.1719,0.1719,False,False,2,2,0.7948,0.7948,False
TestContainerAllocatorWithHostAffinity.testExpiredRequestAllocationOnAnyHost,0,async wait,indent +4,512,512,101,164,0.1973,0.3203,True,True,0,5,0.9142,0.9444,True
TestContainerAllocatorWithHostAffinity.testExpiredRequestAllocationOnAnyHost,0,async wait,strip indent,512,495,101,24,0.1973,0.0485,True,False,0,0,0.9142,0.9107,False
TestContainerAllocatorWithHostAffinity.testExpiredRequestAllocationOnAnyHost,0,async wait,trailing spaces,512,512,101,121,0.1973,0.2363,True,True,0,0,0.9142,0.8507,False
TestContainerAllocatorWithHostAffinity.testExpiredRequestAllocationOnAnyHost,0,async wait,remove blank lines,512,512,101,101,0.1973,0.1973,True,True,0,0,0.9142,0.9142,False
testTokenExpiry,2,time,indent +4,512,512,113,178,0.2207,0.3477,True,True,0,5,0.8026,0.9428,True
testTokenExpiry,2,time,strip indent,512,492,113,28,0.2207,0.0569,True,False,0,0,0.8026,0.8959,False
testTokenExpiry,2,time,trailing spaces,512,512,113,128,0.2207,0.25,True,True,0,0,0.8026,0.7008,False
testTokenExpiry,2,time,remove blank lines,512,512,113,113,0.2207,0.2207,True,True,0,0,0.8026,0.8026,False
TestPathData.testUnqualifiedUriContents,4,test order dependency,indent +4,99,121,18,40,0.1818,0.3306,False,False,4,5,0.9231,0.9522,True
TestPathData.testUnqualifiedUriContents,4,test order dependency,strip indent,99,87,18,6,0.1818,0.069,False,False,4,4,0.9231,0.9317,False
TestPathData.testUnqualifiedUriContents,4,test order dependency,trailing spaces,99,106,18,25,0.1818,0.2358,False,False,4,5,0.9231,0.8507,True
TestPathData.testUnqualifiedUriContents,4,test order dependency,remove blank lines,99,99,18,18,0.1818,0.1818,False,False,4,4,0.9231,0.9231,False
testTransactionMetaStoreAssignAndFailover,0,async wait,indent +4,512,512,173,235,0.3379,0.459,True,True,0,5,0.9041,0.9451,True
testTransactionMetaStoreAssignAndFailover,0,async wait,strip indent,512,400,173,33,0.3379,0.0825,True,False,0,0,0.9041,0.881,False
testTransactionMetaStoreAssignAndFailover,0,async wait,trailing spaces,512,512,173,194,0.3379,0.3789,True,True,0,0,0.9041,0.8718,False
testTransactionMetaStoreAssignAndFailover,0,async wait,remove blank lines,512,512,173,173,0.3379,0.3379,True,True,0,0,0.9041,0.9041,False
KeySharedSubscriptionTest.testRemoveFirstConsumer,0,async wait,indent +4,457,512,106,172,0.2319,0.3359,False,True,0,5,0.921,0.9442,True
KeySharedSubscriptionTest.testRemoveFirstConsumer,0,async wait,strip indent,457,377,106,23,0.2319,0.061,False,False,0,0,0.921,0.912,False
KeySharedSubscriptionTest.testRemoveFirstConsumer,0,async wait,trailing spaces,457,481,106,130,0.2319,0.2703,False,False,0,0,0.921,0.6555,False
KeySharedSubscriptionTest.testRemoveFirstConsumer,0,async wait,remove blank lines,457,457,106,106,0.2319,0.2319,False,False,0,0,0.921,0.921,False
PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,1,concurrency,indent +4,512,512,90,154,0.1758,0.3008,True,True,0,5,0.889,0.9342,True
PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,1,concurrency,strip indent,512,512,90,28,0.1758,0.0547,True,True,0,0,0.889,0.9098,False
PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,1,concurrency,trailing spaces,512,512,90,102,0.1758,0.1992,True,True,0,0,0.889,0.9009,False
PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,1,concurrency,remove blank lines,512,512,90,90,0.1758,0.1758,True,True,0,0,0.889,0.889,False
TestBlockFixer.testGeneratedBlock,1,concurrency,indent +4,512,512,142,200,0.2773,0.3906,True,True,0,5,0.9197,0.9382,True
TestBlockFixer.testGeneratedBlock,1,concurrency,strip indent,512,512,142,32,0.2773,0.0625,True,True,0,0,0.9197,0.9165,False
TestBlockFixer.testGeneratedBlock,1,concurrency,trailing spaces,512,512,142,158,0.2773,0.3086,True,True,0,0,0.9197,0.8627,False
TestBlockFixer.testGeneratedBlock,1,concurrency,remove blank lines,512,512,142,142,0.2773,0.2773,True,True,0,0,0.9197,0.9197,False
testQueryTimeout,0,async wait,indent +4,512,512,274,292,0.5352,0.5703,True,True,1,5,0.4591,0.9446,True
testQueryTimeout,0,async wait,strip indent,512,384,274,49,0.5352,0.1276,True,False,1,1,0.4591,0.4915,False
testQueryTimeout,0,async wait,trailing spaces,512,512,274,281,0.5352,0.5488,True,True,1,5,0.4591,0.5394,True
testQueryTimeout,0,async wait,remove blank lines,512,512,274,274,0.5352,0.5352,True,True,1,1,0.4591,0.4591,False
ProgramLifecycleHttpHandlerTest.testStartProgramWithDisabledRuntimeArgs,0,async wait,indent +4,352,402,46,96,0.1307,0.2388,False,False,4,5,0.7102,0.9476,True
ProgramLifecycleHttpHandlerTest.testStartProgramWithDisabledRuntimeArgs,0,async wait,strip indent,352,320,46,13,0.1307,0.0406,False,False,4,4,0.7102,0.916,False
ProgramLifecycleHttpHandlerTest.testStartProgramWithDisabledRuntimeArgs,0,async wait,trailing spaces,352,366,46,60,0.1307,0.1639,False,False,4,5,0.7102,0.5221,True
ProgramLifecycleHttpHandlerTest.testStartProgramWithDisabledRuntimeArgs,0,async wait,remove blank lines,352,352,46,46,0.1307,0.1307,False,False,4,4,0.7102,0.7102,False
DirectedMultiGraphTest.testConnectedComponents,3,unordered collections,indent +4,150,184,34,68,0.2267,0.3696,False,False,3,5,0.8596,0.9515,True
DirectedMultiGraphTest.testConnectedComponents,3,unordered collections,strip indent,150,125,34,9,0.2267,0.072,False,False,3,3,0.8596,0.7605,False
DirectedMultiGraphTest.testConnectedComponents,3,unordered collections,trailing spaces,150,160,34,44,0.2267,0.275,False,False,3,5,0.8596,0.9244,True
DirectedMultiGraphTest.testConnectedComponents,3,unordered collections,remove blank lines,150,150,34,34,0.2267,0.2267,False,False,3,3,0.8596,0.8596,False
TestRPCCompatibility.testVersion2ClientVersion2Server,4,test order dependency,indent +4,208,254,42,88,0.2019,0.3465,False,False,0,5,0.9198,0.9479,True
TestRPCCompatibility.testVersion2ClientVersion2Server,4,test order dependency,strip indent,208,179,42,12,0.2019,0.067,False,False,0,0,0.9198,0.9092,False
TestRPCCompatibility.testVersion2ClientVersion2Server,4,test order dependency,trailing spaces,208,221,42,55,0.2019,0.2489,False,False,0,0,0.9198,0.8782,False
TestRPCCompatibility.testVersion2ClientVersion2Server,4,test order dependency,remove blank lines,208,208,42,42,0.2019,0.2019,False,False,0,0,0.9198,0.9198,False
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,4,test order dependency,indent +4,370,440,130,200,0.3514,0.4545,False,False,0,5,0.8027,0.9481,True
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,4,test order dependency,strip indent,370,259,130,18,0.3514,0.0695,False,False,0,4,0.8027,0.9158,True
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,4,test order dependency,trailing spaces,370,389,130,149,0.3514,0.383,False,False,0,5,0.8027,0.9091,True
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,4,test order dependency,remove blank lines,370,370,130,130,0.3514,0.3514,False,False,0,0,0.8027,0.8027,False
ServerCnxTest.testDuplicateConcurrentSubscribeCommand,1,concurrency,indent +4,264,330,62,128,0.2348,0.3879,False,False,0,5,0.9219,0.945,True
ServerCnxTest.testDuplicateConcurrentSubscribeCommand,1,concurrency,strip indent,264,221,62,17,0.2348,0.0769,False,False,0,0,0.9219,0.894,False
ServerCnxTest.testDuplicateConcurrentSubscribeCommand,1,concurrency,trailing spaces,264,282,62,80,0.2348,0.2837,False,False,0,0,0.9219,0.9135,False
ServerCnxTest.testDuplicateConcurrentSubscribeCommand,1,concurrency,remove blank lines,264,264,62,62,0.2348,0.2348,False,False,0,0,0.9219,0.9219,False
TestPathData.testWithStringAndConfForBuggyPath,4,test order dependency,indent +4,87,113,22,48,0.2529,0.4248,False,False,4,5,0.8099,0.9515,True
TestPathData.testWithStringAndConfForBuggyPath,4,test order dependency,strip indent,87,72,22,7,0.2529,0.0972,False,False,4,4,0.8099,0.9237,False
TestPathData.testWithStringAndConfForBuggyPath,4,test order dependency,trailing spaces,87,95,22,30,0.2529,0.3158,False,False,4,5,0.8099,0.8387,True
TestPathData.testWithStringAndConfForBuggyPath,4,test order dependency,remove blank lines,87,87,22,22,0.2529,0.2529,False,False,4,4,0.8099,0.8099,False
TestModTime.testModTime,2,time,indent +4,512,512,165,219,0.3223,0.4277,True,True,0,5,0.9225,0.9414,True
TestModTime.testModTime,2,time,strip indent,512,512,165,35,0.3223,0.0684,True,True,0,0,0.9225,0.923,False
TestModTime.testModTime,2,time,trailing spaces,512,512,165,179,0.3223,0.3496,True,True,0,0,0.9225,0.7238,False
TestModTime.testModTime,2,time,remove blank lines,512,512,165,165,0.3223,0.3223,True,True,0,0,0.9225,0.9225,False
TestPathData.testWithDirStringAndConf,4,test order dependency,indent +4,88,118,26,56,0.2955,0.4746,False,False,4,5,0.8657,0.9504,True
TestPathData.testWithDirStringAndConf,4,test order dependency,strip indent,88,70,26,8,0.2955,0.1143,False,False,4,4,0.8657,0.9172,False
TestPathData.testWithDirStringAndConf,4,test order dependency,trailing spaces,88,97,26,35,0.2955,0.3608,False,False,4,4,0.8657,0.5116,False
TestPathData.testWithDirStringAndConf,4,test order dependency,remove blank lines,88,88,26,26,0.2955,0.2955,False,False,4,4,0.8657,0.8657,False
DefectTest.nullAndObjectValuesInMap,3,unordered collections,indent +4,126,148,18,40,0.1429,0.2703,False,False,3,5,0.7537,0.9397,True
DefectTest.nullAndObjectValuesInMap,3,unordered collections,strip indent,126,114,18,6,0.1429,0.0526,False,False,3,3,0.7537,0.5546,False
DefectTest.nullAndObjectValuesInMap,3,unordered collections,trailing spaces,126,133,18,25,0.1429,0.188,False,False,3,5,0.7537,0.6405,True
DefectTest.nullAndObjectValuesInMap,3,unordered collections,remove blank lines,126,126,18,18,0.1429,0.1429,False,False,3,3,0.7537,0.7537,False
testPendingAndInvalidate,1,concurrency,indent +4,512,512,238,264,0.4648,0.5156,True,True,5,5,0.609,0.9449,False
testPendingAndInvalidate,1,concurrency,strip indent,512,511,238,42,0.4648,0.0822,True,False,5,0,0.609,0.9147,True
testPendingAndInvalidate,1,concurrency,trailing spaces,512,512,238,248,0.4648,0.4844,True,True,5,5,0.609,0.9133,False
testPendingAndInvalidate,1,concurrency,remove blank lines,512,512,238,238,0.4648,0.4648,True,True,5,5,0.609,0.609,False
WorkflowClientTestRun.testWorkflowClient,0,async wait,indent +4,512,512,111,176,0.2168,0.3438,True,True,0,5,0.6057,0.9452,True
WorkflowClientTestRun.testWorkflowClient,0,async wait,strip indent,512,512,111,28,0.2168,0.0547,True,True,0,0,0.6057,0.4523,False
WorkflowClientTestRun.testWorkflowClient,0,async wait,trailing spaces,512,512,111,133,0.2168,0.2598,True,True,0,5,0.6057,0.5181,True
WorkflowClientTestRun.testWorkflowClient,0,async wait,remove blank lines,512,512,111,111,0.2168,0.2168,True,True,0,0,0.6057,0.6057,False
ColumnFamilyStoreTest.testRemoveSuperColumn,0,async wait,indent +4,383,465,78,160,0.2037,0.3441,False,False,0,5,0.824,0.946,True
ColumnFamilyStoreTest.testRemoveSuperColumn,0,async wait,strip indent,383,326,78,21,0.2037,0.0644,False,False,0,0,0.824,0.7296,False
ColumnFamilyStoreTest.testRemoveSuperColumn,0,async wait,trailing spaces,383,405,78,100,0.2037,0.2469,False,False,0,5,0.824,0.4824,True
ColumnFamilyStoreTest.testRemoveSuperColumn,0,async wait,remove blank lines,383,383,78,78,0.2037,0.2037,False,False,0,0,0.824,0.824,False
GiteePropertyPathNotificationExtractorTests.giteeSample,3,unordered collections,indent +4,157,183,22,48,0.1401,0.2623,False,False,3,5,0.5246,0.9517,True
GiteePropertyPathNotificationExtractorTests.giteeSample,3,unordered collections,strip indent,157,142,22,7,0.1401,0.0493,False,False,3,4,0.5246,0.7441,True
GiteePropertyPathNotificationExtractorTests.giteeSample,3,unordered collections,trailing spaces,157,165,22,30,0.1401,0.1818,False,False,3,5,0.5246,0.8747,True
